,Gene.title,P.Value
0,microRNA 4640///discoidin domain receptor tyrosine kinase 1,0.183
1,replication factor C subunit 2,0.00879
2,heat shock protein family A (Hsp70) member 6,0.919
3,paired box 8,0.0391
4,guanylate cyclase activator 1A,0.0322
5,microRNA 5193///ubiquitin like modifier activating enzyme 7,0.363
6,"thyroid hormone receptor, alpha",0.0141
7,"protein tyrosine phosphatase, non-receptor type 21",0.163
8,C-C motif chemokine ligand 5,0.998
9,cytochrome P450 family 2 subfamily E member 1,0.0977
10,EPH receptor B3,0.381
11,estrogen related receptor alpha,0.00881
12,cytochrome P450 family 2 subfamily A member 6,0.0877
13,scavenger receptor class B member 1,0.0904
14,tubulin tyrosine ligase like 12,0.732
15,uncharacterized LOC101930489///long intergenic non-protein coding RNA 152,0.881
16,WAP four-disulfide core domain 2,0.312
17,mitogen-activated protein kinase 1,0.00213
18,mitogen-activated protein kinase 1,0.00011
19,ADAM metallopeptidase domain 32,0.578
20,spermatogenesis associated 17,0.233
21,proline rich 22,0.0174
22,proline rich 22,0.038
23,PX domain containing serine/threonine kinase like,0.0151
24,PX domain containing serine/threonine kinase like,0.306
25,"VPS18, CORVET/HOPS core subunit",0.925
26,Myb/SANT DNA binding domain containing 3,0.113
27,solute carrier family 46 member 1,0.214
28,solute carrier family 46 member 1,0.452
29,T-cell immunoglobulin and mucin domain containing 4,0.0071
30,solute carrier family 39 member 5,0.0687
31,zinc finger DHHC-type containing 11B///zinc finger DHHC-type containing 11,0.249
32,ATPase H+ transporting V1 subunit E2,0.349
33,"AFG3 like matrix AAA peptidase subunit 1, pseudogene",0.000548
34,cartilage intermediate layer protein 2,0.303
35,cartilage intermediate layer protein 2,0.0892
36,phosphatidylinositol glycan anchor biosynthesis class X,0.475
37,transmembrane protein 196,0.329
38,solute carrier family 39 member 13,0.948
39,bestrophin 4,0.454
40,adenylate kinase 9,0.352
41,coronin 6,0.00175
42,transmembrane protein 106A,0.0341
43,transmembrane protein 106A,0.0455
44,"ALG10, alpha-1,2-glucosyltransferase",0.0986
45,"ALG10, alpha-1,2-glucosyltransferase",0.138
46,tetratricopeptide repeat domain 39C,0.14
47,nexilin F-actin binding protein,0.00824
48,chromosome 15 open reading frame 40,0.0531
49,retina and anterior neural fold homeobox 2,0.418
50,microfibrillar associated protein 3,1.65e-07
51,EYA transcriptional coactivator and phosphatase 3,0.629
52,"GTPase, IMAP family member 1",2.17e-05
53,"GTPase, IMAP family member 1",0.207
54,"GTPase, IMAP family member 1",0.0141
55,kallikrein related peptidase 8,0.18
56,coiled-coil domain containing 65,0.00137
57,coiled-coil domain containing 65,0.017
58,family with sequence similarity 122C,0.481
59,family with sequence similarity 122C,0.0893
60,cilia and flagella associated protein 53,0.964
61,cilia and flagella associated protein 53,0.1
62,"armadillo repeat containing, X-linked 4",0.000275
63,"RB binding protein 6, ubiquitin ligase",0.687
64,CENPB DNA-binding domain containing 1,0.0485
65,TRIO and F-actin binding protein,0.317
66,TRIO and F-actin binding protein,0.352
67,cation channel sperm associated 1,6.73e-06
68,homeobox D4,0.226
69,goosecoid homeobox,0.385
70,Sp7 transcription factor,0.34
71,phosphodiesterase 7A,0.242
72,CCR4-NOT transcription complex subunit 7,0.00127
73,crystallin zeta like 1,1.01e-06
74,"protease, serine 33",0.0399
75,"protease, serine 33",0.0111
76,CACN beta subunit associated regulatory protein,0.686
77,CACN beta subunit associated regulatory protein,0.149
78,minichromosome maintenance domain containing 2,0.8
79,TIR domain containing adaptor protein,0.00223
80,liver enriched antimicrobial peptide 2,0.439
81,musashi RNA binding protein 2,0.123
82,scinderin,0.695
83,scinderin,0.564
84,CCCTC-binding factor like,0.115
85,chromosome 4 open reading frame 33,0.0574
86,chromosome 4 open reading frame 33,0.087
87,chromosome 4 open reading frame 33,0.995
88,zinc finger protein 333,2.13e-07
89,trans-golgi network vesicle protein 23 homolog C (S. cerevisiae),0.557
90,retinol dehydrogenase 10 (all-trans),0.0595
91,retinol dehydrogenase 10 (all-trans),0.754
92,serine and arginine rich splicing factor 12,0.588
93,family with sequence similarity 71 member A,0.0144
94,family with sequence similarity 71 member A,0.252
95,"GRB2-binding adaptor protein, transmembrane",0.953
96,"uncharacterized protein FLJ30901///signal peptide, CUB domain and EGF like domain containing 1",0.282
97,glutamate rich 5,0.119
98,glutamate rich 5,0.424
99,coiled-coil domain containing 185,0.697
100,ENTH domain containing 1,0.274
101,ENTH domain containing 1,0.365
102,testis specific serine kinase 3,0.0248
103,WAP four-disulfide core domain 6,0.605
104,C-type lectin domain family 12 member A,0.62
105,"BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit",0.0793
106,transmembrane protein 266,0.458
107,GRIK1 antisense RNA 2///BTB domain and CNC homolog 1,0.92
108,calmodulin like 6,0.0431
109,NLR family pyrin domain containing 5,0.743
110,outer dense fiber of sperm tails 4,0.921
111,outer dense fiber of sperm tails 4,0.469
112,C-type lectin domain family 4 member F,0.717
113,defensin beta 106B///defensin beta 106A,0.0446
114,defensin beta 106B///defensin beta 106A,0.185
115,WAP four-disulfide core domain 9,0.184
116,WAP four-disulfide core domain 9,0.042
117,"neural precursor cell expressed, developmentally down-regulated 1",0.00553
118,tubulin tyrosine ligase like 10,0.0893
119,tubulin tyrosine ligase like 10,0.228
120,calreticulin 3,0.0858
121,chromosome 10 open reading frame 25,0.184
122,ETS variant 3,0.000667
123,kelch like family member 10,0.368
124,kelch like family member 10,0.0747
125,TM2 domain containing 3,0.232
126,zinc finger protein 485,0.853
127,WD repeat domain 17,0.591
128,major facilitator superfamily domain containing 6 like,0.846
129,cadherin-23-like///cadherin-related 23,0.219
130,ankyrin and armadillo repeat containing,0.786
131,multiple EGF like domains 11,0.199
132,G protein-coupled receptor 182,0.0576
133,ESX homeobox 1,0.393
134,FAM167A antisense RNA 1,0.905
135,secretoglobin family 1C member 2///secretoglobin family 1C member 1,0.34
136,DnaJ heat shock protein family (Hsp40) member C5 gamma,0.21
137,WD repeat domain 88,0.57
138,WD repeat domain 88,0.228
139,prune homolog 2,0.294
140,methyl-CpG binding domain protein 3 like 2,0.579
141,ADAMTS like 1,0.323
