,FUNDTYPE,p_val
1,ABT,1.6935098682645378e-05
3,AKP,0.013816773050244764
4,AKU,2.9491104100527888e-08
5,ALU,6.752628277026085e-15
6,AMB,2.493168467679887e-25
7,AMP,3.889365691948745e-17
8,ANA,3.769122343759782e-09
9,ANU,1.8670608692337447e-54
10,ASL,4.3910187872891843e-07
11,ATG,0.03261240807338455
12,AVI,2.1807383444610176e-07
13,BAL,5.0579657359734156e-05
14,BAN,1.3399468850055266e-09
15,BBP,0.0059035515507258485
16,BCO,3.592088961755982e-10
18,BDU,2.5509290457489207e-12
25,BKR,0.0012695351506417068
26,BSL,1.3116654085403878e-32
27,BTM,1.9194404461604073e-12
28,BWE,2.0493230536309952e-16
33,CCIR,1.516758804909833e-32
34,CHI,1.8834594120924848e-08
35,CHU,0.00012946411985748123
38,DBU,4.560604362107245e-37
39,DHI,1.602938509874212e-15
40,DKD,4.3309279943260695e-36
43,EHG,7.767599084786211e-13
44,ELP,1.943198798533525e-06
45,EMB,1.6350021654932755e-28
46,GAM,3.1358481941502154e-11
47,GGM,2.6387945618366043e-13
49,GLE,2.6495177935288622e-20
50,GMP,9.91441445935634e-23
51,GPC,0.14198031282089488
52,GRU,3.4852925896133534e-15
53,GSL,5.606417430486338e-14
54,GWL,1.0565047946467752e-25
55,HAT,5.637806992120874e-26
56,HET,8.109770386899396e-14
57,HGU,1.7356517846823982e-45
59,HLS,8.604868441254768e-25
60,HNW,3.746564160469317e-33
62,HOL,8.33955429844601e-18
63,HOM,0.01747189768573819
64,HOR,2.6488666604646394e-06
68,INT,0.643051474289106
69,JEL,9.331706430011052e-23
70,JFN,4.089323304144542e-59
72,KAN,0.011421361192290164
73,KAW,5.10834742660975e-15
74,KDW,6.874180106977056e-05
75,KDY,1.0090888192839951e-45
76,KEG,1.1704825435694197e-48
77,KEL,2.3988743166740913e-06
78,KLT,2.1226327799018042e-29
79,KMU,1.5146801302845605e-08
81,KNO,2.440332856356492e-10
82,KOT,3.5801445693167694e-19
83,KRI,9.063399326749854e-08
84,KRW,2.1560697055311546e-23
85,KUL,7.184305470427755e-15
86,KUR,2.121031442106019e-40
88,MAH,1.2854921589381984e-27
89,MAT,4.219575598392729e-34
90,MED,0.006411743361054319
91,MEG,0.0006034876073148725
93,MHG,5.276875970612253e-13
94,MHI,4.253376348241663e-09
96,MNR,5.900654378343732e-23
98,MON,4.331131653625615e-12
99,MOR,8.232790898595069e-11
100,MSP,1.0639835032246688e-11
101,MTL,3.147102495416454e-47
102,MTU,0.0004861157231504155
105,MWE,2.18996008135144e-11
106,MWG,9.351681052948433e-07
107,NGB,3.466355705510014e-39
109,NIK,1.1614314468950307e-23
110,NIT,3.6817465644155055e-15
111,NLE,6.533384489639817e-30
114,NUE,3.858079113357217e-14
115,NUG,1.299980677868522e-40
116,NWP,3.3729905361510647e-15
117,PAN,5.712719106126045e-19
118,PDK,3.96284057364455e-19
120,PET,0.00026170493832369763
121,PIL,5.672274999691686e-51
122,POL,4.58372522752943e-36
123,PUT,1.473396445217727e-12
124,PYL,2.5217218511172117e-22
125,RAT,2.287207563317882e-06
126,RIK,4.010477399535524e-10
127,RWW,1.4578768743974571e-21
128,SBL,0.033839133460906785
131,TAN,1.2767043458374377e-20
132,TBU,2.3511772893426927e-06
133,TCO,5.601666772989871e-12
134,TIS,1.0775782260238831e-16
135,VAV,7.830472774579458e-13
138,WEL,7.688186015902223e-16
139,WELL,0.0290647275241395
140,WEW,1.0006379867146205e-17
141,WKP,3.652870271788718e-18
143,WPU,1.9279727720659934e-13
